TRACER 29525
RTT_CONNECT_FAIL
RTT_RETRY attempt=1 rc=1
RTT 1790361263.544 8.794
RTT 1790361263.785 0.136
RTT 1790361264.036 0.186
RTT 1790361264.286 0.128
RTT 1790361264.541 4.678
RTT 1790361264.786 0.359
RTT 1790361265.036 0.090
RTT 1790361265.287 0.231
RTT 1790361265.539 1.824
RTT 1790361265.787 0.151
RTT 1790361266.037 0.117
RTT 1790361266.288 0.291
RTT 1790361266.540 2.156
RTT 1790361266.788 0.102
RTT 1790361267.038 0.188
RTT 1790361267.291 2.523
RTT 1790361267.538 0.218
RTT 1790361267.791 0.194
RTT 1790361268.041 0.151
RTT 1790361268.303 12.766
RTT 1790361268.541 0.177
RTT 1790361268.791 0.181
RTT 1790361269.042 0.153
RTT 1790361269.293 0.924
RTT 1790361269.542 0.201
RTT 1790361269.792 0.086
RTT 1790361270.042 0.155
RTT 1790361270.295 2.502
RTT 1790361270.544 2.029
RTT 1790361270.793 0.069
RTT 1790361271.043 0.242
RTT 1790361271.297 4.302
RTT 1790361271.543 0.096
RTT 1790361271.793 0.079
RTT 1790361272.044 0.397
RTT 1790361272.296 1.763
RTT 1790361272.544 0.144
RTT 1790361272.795 0.343
RTT 1790361273.045 0.172
RTT 1790361273.311 16.492
RTT 1790361273.550 5.379
RTT 1790361273.795 0.317
RTT 1790361274.045 0.125
RTT 1790361274.299 3.757
RTT 1790361274.546 0.172
RTT 1790361274.798 0.093
RTT 1790361275.049 0.205
RTT 1790361275.304 5.308
RTT 1790361275.549 0.128
RTT 1790361275.799 0.145
RTT 1790361276.050 0.218
RTT 1790361276.309 8.774
RTT 1790361276.550 0.062
RTT 1790361276.801 0.338
RTT 1790361277.050 0.068
RTT 1790361277.305 4.585
RTT 1790361277.551 0.190
RTT 1790361277.801 0.330
RTT 1790361278.051 0.144
RTT 1790361278.308 6.851
RTT 1790361278.554 0.373
RTT 1790361278.804 0.170
RTT 1790361279.054 0.069
RTT 1790361279.304 0.083
RTT 1790361279.555 0.263
RTT 1790361279.805 0.310
RTT 1790361280.055 0.197
RTT 1790361280.305 0.135
RTT 1790361280.558 0.196
RTT 1790361280.808 0.278
RTT 1790361281.058 0.333
RTT 1790361281.308 0.137
RTT 1790361281.559 0.318
RTT 1790361281.809 0.292
RTT 1790361282.059 0.343
RTT 1790361282.310 0.858
RTT 1790361282.559 0.096
RTT 1790361282.810 0.331
RTT 1790361283.060 0.272
RTT 1790361283.311 1.769
RTT 1790361283.560 0.321
RTT 1790361283.810 0.042
RTT 1790361284.060 0.134
RTT 1790361284.312 1.586
RTT 1790361284.560 0.128
RTT 1790361284.811 0.071
RTT 1790361285.061 0.313
RTT 1790361285.312 1.469
RTT 1790361285.561 0.296
RTT 1790361285.812 0.412
RTT 1790361286.062 0.383
RTT 1790361286.315 3.580
RTT 1790361286.562 0.077
RTT 1790361286.812 0.168
RTT 1790361287.062 0.084
RTT 1790361287.320 7.718
RTT 1790361287.563 0.141
RTT 1790361287.813 0.187
RTT 1790361288.072 9.035
RTT 1790361288.318 4.896
RTT 1790361288.564 0.182
RTT 1790361288.814 0.064
RTT 1790361289.066 2.548
RTT 1790361289.314 0.138
RTT 1790361289.564 0.119
RTT 1790361289.824 9.698
RTT 1790361290.067 2.921
RTT 1790361290.317 0.182
RTT 1790361290.567 0.074
RTT 1790361290.820 2.370
RTT 1790361291.068 0.320
RTT 1790361291.320 0.325
RTT 1790361291.576 5.606
RTT 1790361291.821 1.179
RTT 1790361292.071 0.353
RTT 1790361292.321 0.161
RTT 1790361292.576 4.663
RTT 1790361292.822 0.253
RTT 1790361293.072 0.106
RTT 1790361293.324 2.303
RTT 1790361293.572 0.126
RTT 1790361293.823 0.371
RTT 1790361294.073 0.300
RTT 1790361294.323 0.199
RTT 1790361294.575 0.349
RTT 1790361294.825 0.210
RTT 1790361295.079 3.531
RTT 1790361295.326 0.063
RTT 1790361295.576 0.286
RTT 1790361295.826 0.327
RTT 1790361296.079 2.439
RTT 1790361296.328 1.812
RTT 1790361296.577 0.313
RTT 1790361296.827 0.335
RTT 1790361297.077 0.301
RTT 1790361297.327 0.356
RTT 1790361297.578 0.199
RTT 1790361297.828 0.130
RTT 1790361298.078 0.276
RTT 1790361298.331 2.528
RTT 1790361298.579 0.124
RTT 1790361298.829 0.072
RTT 1790361299.079 0.048
RTT 1790361299.330 1.579
RTT 1790361299.581 0.273
RTT 1790361299.831 0.062
RTT 1790361300.084 2.570
RTT 1790361300.332 0.207
RTT 1790361300.582 0.140
RTT 1790361300.833 0.552
RTT 1790361301.088 5.458
RTT 1790361301.333 0.167
RTT 1790361301.583 0.193
RTT 1790361301.833 0.129
RTT 1790361302.085 1.270
RTT 1790361302.335 0.723
RTT 1790361302.584 0.171
RTT 1790361302.839 2.648
RTT 1790361303.086 0.113
RTT 1790361303.337 0.313
RTT 1790361303.587 0.326
RTT 1790361303.837 0.212
RTT 1790361304.092 5.192
RTT 1790361304.337 0.201
RTT 1790361304.587 0.228
RTT 1790361304.838 0.293
RTT 1790361305.088 0.086
RTT 1790361305.338 0.061
RTT 1790361305.588 0.207
RTT 1790361305.839 0.318
RTT 1790361306.089 0.758
RTT 1790361306.339 0.730
RTT 1790361306.589 0.332
RTT 1790361306.839 0.317
RTT 1790361307.093 3.750
RTT 1790361307.339 0.149
RTT 1790361307.590 0.132
RTT 1790361307.840 0.274
RTT 1790361308.094 4.520
RTT 1790361308.340 0.077
RTT 1790361308.590 0.198
RTT 1790361308.841 0.336
RTT 1790361309.094 3.825
RTT 1790361309.343 2.173
RTT 1790361309.591 0.090
RTT 1790361309.841 0.148
RTT 1790361310.092 0.394
RTT 1790361310.342 0.144
RTT 1790361310.592 0.339
RTT 1790361310.843 0.183
RTT 1790361311.093 0.084
RTT 1790361311.349 6.073
RTT 1790361311.595 0.636
RTT 1790361311.845 0.186
RTT 1790361312.098 3.882
RTT 1790361312.347 2.888
RTT 1790361312.595 0.080
RTT 1790361312.845 0.192
RTT 1790361313.100 4.878
RTT 1790361313.345 0.157
RTT 1790361313.596 0.530
RTT 1790361313.846 0.329
RTT 1790361314.096 0.168
RTT 1790361314.346 0.092
RTT 1790361314.596 0.086
RTT 1790361314.846 0.078
RTT 1790361315.099 2.591
RTT 1790361315.347 0.103
RTT 1790361315.597 0.174
RTT 1790361315.847 0.093
RTT 1790361316.097 0.081
RTT 1790361316.347 0.080
RTT 1790361316.598 0.157
RTT 1790361316.848 0.052
RTT 1790361317.098 0.172
RTT 1790361317.348 0.165
RTT 1790361317.598 0.144
RTT 1790361317.848 0.051
RTT 1790361318.099 0.147
RTT 1790361318.349 0.204
RTT 1790361318.599 0.336
RTT 1790361318.849 0.317
RTT 1790361319.099 0.137
RTT 1790361319.350 0.176
RTT 1790361319.600 0.093
RTT 1790361319.850 0.349
RTT 1790361320.100 0.076
RTT 1790361320.350 0.166
RTT 1790361320.601 0.129
RTT 1790361320.851 0.214
RTT 1790361321.101 0.347
RTT 1790361321.351 0.141
RTT 1790361321.602 0.441
RTT 1790361321.852 0.139
RTT 1790361322.102 0.076
RTT 1790361322.352 0.258
RTT 1790361322.602 0.085
RTT 1790361322.852 0.189
RTT 1790361323.103 0.206
RTT 1790361323.353 0.067
RTT 1790361323.603 0.138
RTT 1790361323.853 0.137
RTT 1790361324.103 0.163
RTT 1790361324.354 0.337
RTT 1790361324.604 0.155
RTT 1790361324.854 0.269
RTT 1790361325.104 0.068
RTT 1790361325.354 0.219
RTT 1790361325.605 0.322
RTT 1790361325.855 0.146
RTT 1790361326.105 0.182
RTT 1790361326.355 0.081
