TRACER 29525
RTT_CONNECT_FAIL
RTT_RETRY attempt=1 rc=1
RTT 1790360466.078 0.305
RTT 1790360466.333 4.755
RTT 1790360466.582 3.649
RTT 1790360466.829 0.383
RTT 1790360467.079 0.373
RTT 1790360467.331 1.633
RTT 1790360467.580 0.578
RTT 1790360467.830 0.237
RTT 1790360468.080 0.364
RTT 1790360468.333 3.681
RTT 1790360468.581 1.006
RTT 1790360468.830 0.147
RTT 1790360469.084 1.858
RTT 1790360469.336 3.686
RTT 1790360469.583 0.146
RTT 1790360469.833 0.180
RTT 1790360470.086 3.049
RTT 1790360470.336 2.899
RTT 1790360470.583 0.133
RTT 1790360470.833 0.124
RTT 1790360471.083 0.079
RTT 1790360471.336 2.398
RTT 1790360471.584 0.203
RTT 1790360471.834 0.184
RTT 1790360472.093 8.806
RTT 1790360472.335 0.964
RTT 1790360472.584 0.070
RTT 1790360472.835 0.421
RTT 1790360473.085 0.236
RTT 1790360473.337 2.266
RTT 1790360473.588 3.108
RTT 1790360473.835 0.113
RTT 1790360474.088 0.150
RTT 1790360474.342 4.768
RTT 1790360474.588 0.296
RTT 1790360474.838 0.265
RTT 1790360475.093 4.536
RTT 1790360475.340 1.382
RTT 1790360475.589 0.143
RTT 1790360475.839 0.205
RTT 1790360476.089 0.337
RTT 1790360476.345 6.416
RTT 1790360476.594 4.910
RTT 1790360476.839 0.224
RTT 1790360477.089 0.076
RTT 1790360477.344 4.140
RTT 1790360477.590 0.631
RTT 1790360477.840 0.080
RTT 1790360478.090 0.229
RTT 1790360478.349 8.709
RTT 1790360478.592 1.798
RTT 1790360478.840 0.100
RTT 1790360479.097 4.099
RTT 1790360479.344 1.621
RTT 1790360479.593 0.244
RTT 1790360479.845 0.183
RTT 1790360480.107 11.696
RTT 1790360480.347 1.832
RTT 1790360480.596 0.352
RTT 1790360480.846 0.335
RTT 1790360481.102 6.289
RTT 1790360481.349 2.332
RTT 1790360481.597 0.307
RTT 1790360481.847 0.078
RTT 1790360482.100 3.573
RTT 1790360482.352 5.061
RTT 1790360482.597 0.242
RTT 1790360482.847 0.142
RTT 1790360483.099 1.609
RTT 1790360483.352 4.450
RTT 1790360483.598 0.065
RTT 1790360483.848 0.241
RTT 1790360484.102 3.732
RTT 1790360484.350 1.820
RTT 1790360484.598 0.079
RTT 1790360484.849 1.061
RTT 1790360485.101 2.812
RTT 1790360485.349 0.151
RTT 1790360485.599 0.056
RTT 1790360485.853 4.355
RTT 1790360486.099 0.376
RTT 1790360486.349 0.251
RTT 1790360486.602 0.197
RTT 1790360486.863 11.111
RTT 1790360487.102 0.096
RTT 1790360487.353 0.356
RTT 1790360487.604 1.373
RTT 1790360487.856 2.968
RTT 1790360488.103 0.140
RTT 1790360488.353 0.085
RTT 1790360488.606 2.602
RTT 1790360488.854 1.212
RTT 1790360489.103 0.151
RTT 1790360489.359 5.343
RTT 1790360489.609 5.063
RTT 1790360489.859 5.646
RTT 1790360490.105 0.325
RTT 1790360490.356 0.163
RTT 1790360490.611 4.334
RTT 1790360490.858 1.136
RTT 1790360491.107 0.087
RTT 1790360491.357 0.165
RTT 1790360491.607 0.062
RTT 1790360491.861 3.552
RTT 1790360492.110 2.719
RTT 1790360492.358 0.281
RTT 1790360492.610 0.286
RTT 1790360492.864 4.065
RTT 1790360493.110 0.137
RTT 1790360493.360 0.187
RTT 1790360493.616 5.432
RTT 1790360493.868 6.921
RTT 1790360494.112 0.281
RTT 1790360494.362 0.259
RTT 1790360494.616 4.270
RTT 1790360494.864 2.114
RTT 1790360495.112 0.175
RTT 1790360495.362 0.156
RTT 1790360495.616 3.680
RTT 1790360495.864 1.551
RTT 1790360496.113 0.146
RTT 1790360496.368 5.607
RTT 1790360496.620 7.161
RTT 1790360496.863 0.200
RTT 1790360497.113 0.219
RTT 1790360497.366 2.999
RTT 1790360497.614 0.162
RTT 1790360497.865 1.499
RTT 1790360498.116 2.419
RTT 1790360498.364 0.498
RTT 1790360498.614 0.305
RTT 1790360498.865 0.298
RTT 1790360499.120 5.641
RTT 1790360499.370 5.267
RTT 1790360499.616 0.390
RTT 1790360499.868 0.435
RTT 1790360500.118 0.305
RTT 1790360500.372 4.321
RTT 1790360500.618 0.095
RTT 1790360500.868 0.180
RTT 1790360501.118 0.105
RTT 1790360501.369 0.619
RTT 1790360501.619 0.302
RTT 1790360501.869 0.069
RTT 1790360502.129 9.962
RTT 1790360502.370 1.023
RTT 1790360502.620 0.211
RTT 1790360502.870 0.087
RTT 1790360503.122 2.379
RTT 1790360503.370 0.073
RTT 1790360503.620 0.076
RTT 1790360503.871 0.196
RTT 1790360504.128 7.329
RTT 1790360504.373 2.547
RTT 1790360504.621 0.286
RTT 1790360504.871 0.226
RTT 1790360505.126 4.872
RTT 1790360505.375 3.379
RTT 1790360505.622 0.241
RTT 1790360505.874 0.350
RTT 1790360506.127 2.908
RTT 1790360506.376 2.023
RTT 1790360506.625 0.185
RTT 1790360506.875 0.081
RTT 1790360507.128 3.390
RTT 1790360507.375 0.143
RTT 1790360507.625 0.107
RTT 1790360507.876 0.740
RTT 1790360508.127 1.433
RTT 1790360508.376 0.268
RTT 1790360508.626 0.185
RTT 1790360508.880 3.781
RTT 1790360509.128 2.212
RTT 1790360509.377 0.280
RTT 1790360509.627 0.306
RTT 1790360509.881 4.969
RTT 1790360510.127 0.092
RTT 1790360510.377 0.342
RTT 1790360510.632 5.027
RTT 1790360510.878 0.651
RTT 1790360511.128 0.330
RTT 1790360511.378 0.135
RTT 1790360511.631 3.804
RTT 1790360511.878 0.127
RTT 1790360512.128 0.244
RTT 1790360512.384 5.904
RTT 1790360512.628 0.105
RTT 1790360512.879 0.198
RTT 1790360513.129 0.131
RTT 1790360513.384 4.659
RTT 1790360513.630 0.169
RTT 1790360513.880 0.205
RTT 1790360514.130 0.123
RTT 1790360514.381 0.775
RTT 1790360514.630 0.217
RTT 1790360514.881 0.272
