# evidence replay 2026-09-24T14:14:33+08:00: exact-line count of
# ^EXA bug: pPixmap->devPrivate\.ptr was 0x[0-9a-f]+, but should have been NULL\.$
# columns: count  sha256(log)[:16]  frozen-sha256sums-match  path
     0  469b3603cbf98fdc  no-manifest  ./gate-a-a1/p2-r3-xpump-runtime/runtime-a07d66c/r7-03/x3-launcher.raw.log
     0  83f288bca572349b  no-manifest  ./gate-a-a1/p2-r3-xpump-runtime/runtime-a07d66c/r7-05-requalification-01/x3-launcher.raw.log
     0  20d947446aee638b  no-manifest  ./gate-a-a1/p2-r3-xpump-runtime/runtime-a07d66c/r7-06/x3-launcher.raw.log
     0  1fd1580dc98b05e8  no-manifest  ./gate-a-a1/p2-r3-xpump-runtime/runtime-a07d66c/r7-07/x3-launcher.raw.log
     0  a7483a91bdaefae7  no-manifest  ./gate-a-a1/p2-r3-xpump-runtime/runtime-a07d66c/r7-08/x3-launcher.raw.log
     0  b6ea2ae316f1d40d  no-manifest  ./gate-a-a1/p2-r3-xpump-runtime/runtime-a07d66c/r7-09/x3-launcher.raw.log
     0  4a2ebcccac5130eb  no-manifest  ./gate-a-a1/p2-r3-xpump-runtime/runtime-a07d66c/r7-10/x3-launcher.raw.log
     0  ea31d83b8bbc71cf  no-manifest  ./gate-a-a1/p2-r3-xpump-runtime/runtime-a07d66c/r7-11/x3-launcher.raw.log
     1  82985bea127be397  no-manifest  ./gate-a-a1/p2-r3-xpump-runtime/runtime-a4c8177/r7-p1-validity-02/x3-launcher.raw.log
     1  70477a5ab773787d  no-manifest  ./gate-a-a1/p2-r3-xpump-runtime/runtime-a4c8177/r7-p1/x3-launcher.raw.log
     1  413c47a105f7763a  no-manifest  ./gate-a-a1/p2-r3-xpump-runtime/runtime-a4c8177/r7-p2/x3-launcher.raw.log
  1000  b0e7afe6d851caf0  no-manifest  ./gate-a-a1/p2-r3-xpump-runtime/runtime-a7528bd/r1-unset-diagnostic-01/x3-launcher.raw.log
  1000  bff146a9669b93f6  no-manifest  ./gate-a-a1/p2-r3-xpump-runtime/runtime-a7528bd/r1-unset-diagnostic-02/x3-launcher.raw.log
  2714  272c2edadcaf8f23  no-manifest  ./gate-a-a1/p2-r3-xpump-runtime/runtime-a7528bd/r1-unset-oracle/x3-launcher.raw.log
     3  b0544d7c576db241  no-manifest  ./gate-a-a1/p2-r3-xpump-runtime/runtime-abb27a65/r7-p1/x3-launcher.raw.log
  2714  0008efa6bd00be00  no-manifest  ./gate-a-a1/p2-r3-xpump-runtime/runtime-d9b7f60/r1-proto0-oracle-rerun1/x3-launcher.raw.log
     0  f35aeb901e08cace  no-manifest  ./gate-a-a1/p2-r3-xpump-runtime/runtime-d9b7f60/r1-proto0-oracle/x3-launcher.raw.log
  2714  9d1df7fcfc991885  no-manifest  ./gate-a-a1/p2-r3-xpump-runtime/runtime-d9b7f60/r1-unset-oracle/x3-launcher.raw.log
     1  25dd40b0adac51ba  no-manifest  ./gate-a-a1/p2-r3-xpump-runtime/runtime-d9b7f60/r2-imported-reject/x3-launcher.raw.log
     1  28b5274f9c851bf5  no-manifest  ./gate-a-a1/p2-r3-xpump-runtime/runtime-d9b7f60/r3-single-direct/x3-launcher.raw.log
  1514  f73104c809bfcc31  no-manifest  ./gate-a-a1/p2-r3-xpump-runtime/runtime-d9b7f60/r4-oracle/x3-launcher.raw.log
  2556  ee29ea4373f771b9  no-manifest  ./gate-a-a1/p2-r3-xpump-runtime/runtime-d9b7f60/r5-ahb-cycles-rerun1/x3-launcher.raw.log
  1628  cff2b04df511ce7d  no-manifest  ./gate-a-a1/p2-r3-xpump-runtime/runtime-d9b7f60/r5-ahb-cycles/x3-launcher.raw.log
     0  8f12ecbf9e2baee3  no-manifest  ./gate-a-a1/p2-r3-xpump-runtime/runtime-fdfb1ce/r7-04-requalification-01/x3-launcher.raw.log
     0  0d535fd71a73b27f  no-manifest  ./gate-a-a1/p2-r3-xpump-runtime/runtime-fdfb1ce/r7-05/x3-launcher.raw.log
    81  e048e4e58ca6841a  no-manifest  ./gate-a-a1/p2-r3-xpump-runtime/runtime-feeaa56/stall-obs-01/x3-launcher.raw.log
     0  fe85abfb7959e64e  no-manifest  ./gate-a-a1/p2-r8-runtime/runtime-2a245b0/r8-c1/attempt-06-giveup-end/x3-launcher.raw.log
     0  92efe2c24b6ad3b4  no-manifest  ./gate-a-a1/p2-r8-runtime/runtime-5a782f6/r8-c1/attempt-05-obs-terminal/x3-launcher.raw.log
     0  e6ad2e3d1ee3cfb4  no-manifest  ./gate-a-a1/p2-r8-runtime/runtime-65938a4/r8-c1/attempt-01/x3-launcher.raw.log
     0  b83063c8a621635a  no-manifest  ./gate-a-a1/p2-r8-runtime/runtime-65938a4/r8-c1/attempt-03-orchestration-v2/x3-launcher.raw.log
     0  ae56f95317e4f270  no-manifest  ./gate-a-a1/p2-r8-runtime/runtime-65938a4/r8-c1/attempt-04-orchestration-v2/x3-launcher.raw.log
     0  895d7904819d3ec7  no-manifest  ./gate-a-a1/p2-r8-runtime/runtime-7e3a05e/r8-d/attempt-01/x3-launcher.raw.log
     0  fa08a438d9bf65ea  no-manifest  ./gate-a-a1/p2-r8-runtime/runtime-b984ded/r8-c1/attempt-08-xcb-sender/x3-launcher.raw.log
     0  95bfe76810574def  no-manifest  ./gate-a-a1/p2-r8-runtime/runtime-b984ded/r8-c1/attempt-09/x3-launcher.raw.log
     0  6e676144a1671ca0  no-manifest  ./gate-a-a1/p2-r8-runtime/runtime-b984ded/r8-c1/attempt-10/x3-launcher.raw.log
     0  d25812f97bc33626  no-manifest  ./gate-a-a1/p2-r8-runtime/runtime-b984ded/r8-c1/attempt-11/x3-launcher.raw.log
     0  93d9fb65cbbb2985  no-manifest  ./gate-a-a1/p2-r8-runtime/runtime-b984ded/r8-c1/attempt-12/x3-launcher.raw.log
     0  efc8b4850525d2ba  MATCH        ./gate-a-a1/p2-r8-runtime/runtime-b984ded/r8-c1/attempt-13/x3-launcher.raw.log
     0  d1dbd83414c9abda  no-manifest  ./gate-a-a1/p2-r8-runtime/runtime-b984ded/r8-c2/attempt-01/x3-launcher.raw.log
     0  24caed7a0ad31b21  no-manifest  ./gate-a-a1/p2-r8-runtime/runtime-b984ded/r8-c2/attempt-02/x3-launcher.raw.log
     0  84ab5285e768a16d  MATCH        ./gate-a-a1/p2-r8-runtime/runtime-b984ded/r8-c2/attempt-03/x3-launcher.raw.log
     0  d499c81e2835e2dd  no-manifest  ./gate-a-a1/p2-r8-runtime/runtime-b984ded/r8-c3-disconnect/attempt-01/x3-launcher.raw.log
     0  bf2d907a449e5609  no-manifest  ./gate-a-a1/p2-r8-runtime/runtime-b984ded/r8-c3-disconnect/attempt-02/x3-launcher.raw.log
     0  a4d0060465ecbcb0  MATCH        ./gate-a-a1/p2-r8-runtime/runtime-b984ded/r8-c3-disconnect/attempt-03/x3-launcher.raw.log
     0  4ae3a5f5780e4f70  no-manifest  ./gate-a-a1/p2-r8-runtime/runtime-b984ded/r8-c3-window/attempt-01/x3-launcher.raw.log
     0  9e64cc3b139fa096  no-manifest  ./gate-a-a1/p2-r8-runtime/runtime-b984ded/r8-c3-window/attempt-02/x3-launcher.raw.log
     0  9e3d7a42c480c58f  no-manifest  ./gate-a-a1/p2-r8-runtime/runtime-b984ded/r8-c3-window/attempt-03/x3-launcher.raw.log
     0  551a59b6d675c23d  MATCH        ./gate-a-a1/p2-r8-runtime/runtime-b984ded/r8-c3-window/attempt-04/x3-launcher.raw.log
     0  3c6c9e2b7a0e5785  no-manifest  ./gate-a-a1/p2-r8-runtime/runtime-b984ded/r8-c4/attempt-01/x3-launcher.raw.log
     0  38775458573cf5e2  no-manifest  ./gate-a-a1/p2-r8-runtime/runtime-b984ded/r8-c4/attempt-02/x3-launcher.raw.log
     0  2404c6548cba142d  MATCH        ./gate-a-a1/p2-r8-runtime/runtime-b984ded/r8-c4/attempt-03/x3-launcher.raw.log
     0  82e0e4ed9952fe2f  no-manifest  ./gate-a-a1/p2-r8-runtime/runtime-b984ded/r8-c5-full/attempt-01/x3-launcher.raw.log
