TRACER 29525
RTT_CONNECT_FAIL
RTT_RETRY attempt=1 rc=1
RTT 1790360220.522 0.075
RTT 1790360220.772 0.265
RTT 1790360221.022 0.062
RTT 1790360221.273 0.504
RTT 1790360221.523 0.350
RTT 1790360221.773 0.325
RTT 1790360222.023 0.058
RTT 1790360222.276 2.849
RTT 1790360222.524 0.367
RTT 1790360222.776 0.347
RTT 1790360223.028 1.945
RTT 1790360223.276 0.323
RTT 1790360223.527 0.363
RTT 1790360223.777 0.340
RTT 1790360224.030 3.292
RTT 1790360224.277 0.151
RTT 1790360224.530 0.336
RTT 1790360224.780 0.174
RTT 1790360225.030 0.368
RTT 1790360225.280 0.145
RTT 1790360225.530 0.153
RTT 1790360225.780 0.065
RTT 1790360226.031 0.461
RTT 1790360226.284 3.003
RTT 1790360226.531 0.275
RTT 1790360226.782 0.372
RTT 1790360227.034 2.634
RTT 1790360227.282 0.133
RTT 1790360227.533 0.421
RTT 1790360227.783 0.309
RTT 1790360228.035 1.509
RTT 1790360228.288 4.718
RTT 1790360228.534 0.224
RTT 1790360228.784 0.183
RTT 1790360229.044 7.767
RTT 1790360229.287 0.192
RTT 1790360229.537 0.091
RTT 1790360229.787 0.270
RTT 1790360230.038 1.087
RTT 1790360230.287 0.053
RTT 1790360230.537 0.062
RTT 1790360230.787 0.174
RTT 1790360231.037 0.144
RTT 1790360231.288 0.149
RTT 1790360231.538 0.079
RTT 1790360231.788 0.203
RTT 1790360232.043 5.186
RTT 1790360232.289 1.321
RTT 1790360232.539 0.092
RTT 1790360232.789 0.185
RTT 1790360233.043 4.433
RTT 1790360233.291 0.262
RTT 1790360233.543 0.122
RTT 1790360233.793 0.072
RTT 1790360234.045 1.597
RTT 1790360234.294 0.211
RTT 1790360234.544 0.279
RTT 1790360234.802 8.312
RTT 1790360235.044 0.152
RTT 1790360235.295 0.185
RTT 1790360235.545 0.179
RTT 1790360235.798 3.309
RTT 1790360236.045 0.139
RTT 1790360236.296 0.302
RTT 1790360236.546 0.228
RTT 1790360236.796 0.127
RTT 1790360237.046 0.353
RTT 1790360237.296 0.265
RTT 1790360237.546 0.134
RTT 1790360237.797 0.140
RTT 1790360238.047 0.130
RTT 1790360238.297 0.274
RTT 1790360238.547 0.091
RTT 1790360238.797 0.194
RTT 1790360239.048 0.415
RTT 1790360239.298 0.312
RTT 1790360239.549 0.316
RTT 1790360239.799 0.171
RTT 1790360240.049 0.115
RTT 1790360240.299 0.091
RTT 1790360240.550 0.350
RTT 1790360240.801 2.043
RTT 1790360241.050 0.151
RTT 1790360241.300 0.041
RTT 1790360241.550 0.295
RTT 1790360241.800 0.083
RTT 1790360242.053 0.210
RTT 1790360242.303 0.069
RTT 1790360242.555 2.589
RTT 1790360242.803 0.157
RTT 1790360243.053 0.177
RTT 1790360243.303 0.071
RTT 1790360243.554 0.046
RTT 1790360243.804 0.068
RTT 1790360244.054 0.411
RTT 1790360244.304 0.454
RTT 1790360244.554 0.178
RTT 1790360244.804 0.165
RTT 1790360245.058 3.415
RTT 1790360245.305 0.204
RTT 1790360245.555 0.072
RTT 1790360245.805 0.183
RTT 1790360246.055 0.104
RTT 1790360246.312 6.349
RTT 1790360246.556 0.153
RTT 1790360246.806 0.271
RTT 1790360247.056 0.134
RTT 1790360247.306 0.065
RTT 1790360247.557 0.286
RTT 1790360247.807 0.323
RTT 1790360248.057 0.090
RTT 1790360248.311 3.737
RTT 1790360248.557 0.098
RTT 1790360248.808 0.173
RTT 1790360249.064 6.240
RTT 1790360249.308 0.141
RTT 1790360249.558 0.131
RTT 1790360249.809 0.184
RTT 1790360250.058 0.057
RTT 1790360250.311 2.489
RTT 1790360250.559 0.305
RTT 1790360250.809 0.273
RTT 1790360251.060 1.125
RTT 1790360251.310 0.254
RTT 1790360251.560 0.072
RTT 1790360251.810 0.156
RTT 1790360252.060 0.067
RTT 1790360252.311 0.105
RTT 1790360252.561 0.331
RTT 1790360252.811 0.059
RTT 1790360253.061 0.105
RTT 1790360253.311 0.574
RTT 1790360253.561 0.317
RTT 1790360253.811 0.068
RTT 1790360254.061 0.077
RTT 1790360254.312 0.314
RTT 1790360254.562 0.060
RTT 1790360254.813 0.431
RTT 1790360255.063 0.126
RTT 1790360255.313 0.054
RTT 1790360255.563 0.063
RTT 1790360255.813 0.178
RTT 1790360256.063 0.056
RTT 1790360256.313 0.069
RTT 1790360256.566 3.142
RTT 1790360256.813 0.165
RTT 1790360257.066 2.549
RTT 1790360257.314 0.107
RTT 1790360257.565 1.538
RTT 1790360257.814 0.075
RTT 1790360258.064 0.108
RTT 1790360258.316 0.112
RTT 1790360258.566 0.055
RTT 1790360258.816 0.071
RTT 1790360259.066 0.154
RTT 1790360259.317 0.500
RTT 1790360259.568 1.750
RTT 1790360259.817 0.289
RTT 1790360260.067 0.214
RTT 1790360260.317 0.109
RTT 1790360260.568 0.219
RTT 1790360260.818 0.102
RTT 1790360261.068 0.376
